,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
466,RO,BR,BRASIL,35,PORTO VELHO,13,PT,14540
467,AM,BR,BRASIL,2194,CANUTAMA,13,PT,3359
468,MA,BR,BRASIL,7986,NOVA COLINAS,13,PT,2368
469,MA,BR,BRASIL,8583,TUFILÂNDIA,13,PT,3436
1563,PI,BR,BRASIL,12378,FRANCISCO MACEDO,13,PT,1748
1564,RN,BR,BRASIL,17213,MESSIAS TARGINO,13,PT,2383
1577,ZZ,BR,BRASIL,29335,ATENAS,13,PT,99
1578,BA,BR,BRASIL,37834,PEDRÃO,13,PT,3584
1579,MG,BR,BRASIL,40460,MONTEZUMA,13,PT,2369
2154,MG,BR,BRASIL,48496,MONJOLOS,13,PT,813
2155,MG,BR,BRASIL,49654,PAULA CÂNDIDO,13,PT,3330
2156,SP,BR,BRASIL,62448,TRABIJU,13,PT,436
2169,SP,BR,BRASIL,70530,SANTA ROSA DE VITERBO,13,PT,3554
2170,PR,BR,BRASIL,76473,JATAIZINHO,13,PT,2446
2178,RS,BR,BRASIL,85766,RELVADO,13,PT,347
2179,MT,BR,BRASIL,90310,BARÃO DE MELGAÇO,13,PT,2618
2193,MS,BR,BRASIL,91456,RIO NEGRO,13,PT,1063
2194,GO,BR,BRASIL,93750,GOIANIRA,13,PT,8161
2195,PA,BR,BRASIL,5479,SÃO FRANCISCO DO PARÁ,17,PSL,3646
2196,PA,BR,BRASIL,5975,DOM ELISEU,17,PSL,8200
2197,MA,BR,BRASIL,8087,PERITORÓ,17,PSL,1457
2198,MA,BR,BRASIL,9415,TURIAÇU,17,PSL,2348
2291,AM,BR,BRASIL,2356,HUMAITÁ,13,PT,10398
2292,PA,BR,BRASIL,4707,CANAÃ DOS CARAJÁS,13,PT,9048
2308,RN,BR,BRASIL,16144,FERNANDO PEDROZA,13,PT,1523
2309,RN,BR,BRASIL,17914,PEDRA PRETA,13,PT,1439
2310,PE,BR,BRASIL,25593,SÃO BENTO DO UNA,13,PT,18139
2311,AL,BR,BRASIL,28312,PAULO JACINTO,13,PT,2868
2895,CE,BR,BRASIL,13358,BAIXIO,17,PSL,419
2910,BA,BR,BRASIL,38490,SALVADOR,17,PSL,37733
2911,MG,BR,BRASIL,40878,ARGIRITA,17,PSL,687
2945,SP,BR,BRASIL,66117,JOANÓPOLIS,17,PSL,5122
3009,BA,BR,BRASIL,35092,ENTRE RIOS,13,PT,16995
3010,MG,BR,BRASIL,40673,ARAÇUAÍ,13,PT,9420
3023,MG,BR,BRASIL,45071,FELÍCIO DOS SANTOS,13,PT,1317
3024,RJ,BR,BRASIL,60011,RIO DE JANEIRO,13,PT,18474
3052,SC,BR,BRASIL,83682,TUNÁPOLIS,13,PT,737
3053,RS,BR,BRASIL,85120,NOVA ESPERANÇA DO SUL,13,PT,1122
3365,PE,BR,BRASIL,24635,JOAQUIM NABUCO,13,PT,6206
3374,BA,BR,BRASIL,35319,GOVERNADOR MANGABEIRA,13,PT,9480
3375,MG,BR,BRASIL,42242,INDAIABIRA,13,PT,1899
3376,MG,BR,BRASIL,42269,JAPONVAR,13,PT,3757
3386,MG,BR,BRASIL,52272,SÃO FRANCISCO DO GLÓRIA,13,PT,1749
3400,SP,BR,BRASIL,69515,REGINÓPOLIS,13,PT,595
3401,SC,BR,BRASIL,80950,DESCANSO,13,PT,2077
3640,RS,BR,BRASIL,87386,PINHAL GRANDE,17,PSL,1311
3641,RS,BR,BRASIL,87556,NÃO-ME-TOQUE,17,PSL,7007
3642,RS,BR,BRASIL,88498,SANTA VITÓRIA DO PALMAR,17,PSL,7615
3643,RS,BR,BRASIL,89095,SERAFINA CORRÊA,17,PSL,7339
3644,RS,BR,BRASIL,89516,URUGUAIANA,17,PSL,40426
3645,MT,BR,BRASIL,91677,VÁRZEA GRANDE,17,PSL,37635
3660,GO,BR,BRASIL,92215,ANÁPOLIS,17,PSL,51224
3661,TO,BR,BRASIL,94056,ITACAJÁ,17,PSL,1447
3751,GO,BR,BRASIL,94676,MONTE ALEGRE DE GOIÁS,13,PT,2402
3752,GO,BR,BRASIL,96377,URUTAÍ,13,PT,887
3753,RR,BR,BRASIL,3018,BOA VISTA,17,PSL,53162
3766,MA,BR,BRASIL,9512,VITÓRIA DO MEARIM,17,PSL,3367
3767,RN,BR,BRASIL,18139,RIACHO DE SANTANA,17,PSL,279
3768,RN,BR,BRASIL,18732,TABOLEIRO GRANDE,17,PSL,452
3769,PB,BR,BRASIL,19020,SOBRADO,17,PSL,1546
3770,PE,BR,BRASIL,23833,CATENDE,17,PSL,3890
3787,BA,BR,BRASIL,37303,MIRANTE,17,PSL,842
3788,BA,BR,BRASIL,38296,RIACHO DE SANTANA,17,PSL,2105
3789,BA,BR,BRASIL,39195,TANHAÇU,17,PSL,3125
3801,RJ,BR,BRASIL,58033,ARARUAMA,17,PSL,47767
3802,RJ,BR,BRASIL,58610,NATIVIDADE,17,PSL,5233
3803,RJ,BR,BRASIL,59170,TRAJANO DE MORAES,17,PSL,3002
4103,RS,BR,BRASIL,85715,CAMBARÁ DO SUL,13,PT,1026
4104,MT,BR,BRASIL,91910,ÁGUA BOA,13,PT,2258
4105,TO,BR,BRASIL,92070,ALMAS,13,PT,2214
4106,TO,BR,BRASIL,92576,AXIXÁ DO TOCANTINS,13,PT,4033
4121,GO,BR,BRASIL,94579,MAURILÂNDIA,13,PT,2475
4122,PI,BR,BRASIL,10774,FLORIANO,17,PSL,8059
4132,CE,BR,BRASIL,14478,JUAZEIRO DO NORTE,17,PSL,17963
4133,RN,BR,BRASIL,16632,DOUTOR SEVERIANO,17,PSL,491
4134,PE,BR,BRASIL,25135,PAULISTA,17,PSL,23791
4135,PE,BR,BRASIL,25534,SANTA MARIA DO CAMBUCÁ,17,PSL,2158
4147,MG,BR,BRASIL,41270,BELO VALE,17,PSL,2705
4150,AM,BR,BRASIL,2658,NOVA OLINDA DO NORTE,13,PT,8303
4151,PA,BR,BRASIL,4081,TUCUMÃ,13,PT,6298
4157,MG,BR,BRASIL,51039,RIO ESPERA,17,PSL,1392
4158,MA,BR,BRASIL,7137,ANAJATUBA,13,PT,10794
4159,PI,BR,BRASIL,10219,AVELINO LOPES,13,PT,5444
4163,PA,BR,BRASIL,5452,SÃO FÉLIX DO XINGU,13,PT,8727
4164,PI,BR,BRASIL,10545,SIGEFREDO PACHECO,13,PT,5200
4179,PI,BR,BRASIL,12475,MURICI DOS PORTELAS,13,PT,3534
4180,PE,BR,BRASIL,25313,RECIFE,13,PT,41589
4181,PE,BR,BRASIL,26174,TUPARETAMA,13,PT,5203
4198,ZZ,BR,BRASIL,29483,CAIRO,13,PT,20
4199,ZZ,BR,BRASIL,30112,MIAMI,13,PT,1028
4200,ZZ,BR,BRASIL,30228,NOVA YORK,13,PT,2105
4201,BA,BR,BRASIL,37877,PIATÃ,13,PT,8169
4219,MG,BR,BRASIL,47490,LAGOA FORMOSA,13,PT,3590
4580,PR,BR,BRASIL,77771,PONTA GROSSA,17,PSL,47547
4581,RS,BR,BRASIL,85677,CAIÇARA,17,PSL,1859
4582,RS,BR,BRASIL,88226,NOVA CANDELÁRIA,17,PSL,1365
4598,GO,BR,BRASIL,95311,PETROLINA DE GOIÁS,17,PSL,3748
4896,PI,BR,BRASIL,11959,SÃO GONÇALO DO PIAUÍ,13,PT,2435
4909,SP,BR,BRASIL,71811,TATUÍ,17,PSL,45426
4910,PE,BR,BRASIL,24112,FLORES,13,PT,10591
4911,BA,BR,BRASIL,39942,NOVO HORIZONTE,13,PT,5187
4920,RS,BR,BRASIL,88307,DOUTOR RICARDO,17,PSL,1126
4921,MG,BR,BRASIL,43290,CLARO DOS POÇÕES,13,PT,2453
4922,MG,BR,BRASIL,46450,ITAIPÉ,13,PT,3126
4923,MG,BR,BRASIL,47937,MARAVILHAS,13,PT,1739
4924,MG,BR,BRASIL,53112,SENADOR CORTES,13,PT,920
4925,MG,BR,BRASIL,53430,SETE LAGOAS,13,PT,10473
4926,MG,BR,BRASIL,54011,UBERABA,13,PT,19379
4927,ES,BR,BRASIL,56774,NOVA VENÉCIA,13,PT,11649
4936,GO,BR,BRASIL,93424,PORTEIRÃO,17,PSL,1070
4938,RJ,BR,BRASIL,58300,CARAPEBUS,13,PT,2635
4939,SP,BR,BRASIL,68713,PIQUETE,13,PT,1412
4940,SP,BR,BRASIL,71072,SÃO PAULO,13,PT,19671
4953,SC,BR,BRASIL,80870,CORUPÁ,13,PT,1454
4954,SC,BR,BRASIL,81850,LAGUNA,13,PT,7011
4955,RS,BR,BRASIL,86568,CHARRUA,13,PT,813
4958,MG,BR,BRASIL,48712,MORRO DA GARÇA,13,PT,1137
4959,MG,BR,BRASIL,52973,SÃO SEBASTIÃO DO RIO VERDE,13,PT,408
4960,MG,BR,BRASIL,54437,VOLTA GRANDE,13,PT,1662
4961,ES,BR,BRASIL,57150,PEDRO CANÁRIO,13,PT,6658
4962,RJ,BR,BRASIL,58874,RIO CLARO,13,PT,4138
4963,RJ,BR,BRASIL,59196,TRÊS RIOS,13,PT,12729
4979,SP,BR,BRASIL,69892,RUBIÁCEA,13,PT,468
4980,PR,BR,BRASIL,78352,SALTO DO ITARARÉ,13,PT,1369
4994,SC,BR,BRASIL,81493,IPIRA,13,PT,1094
4995,RS,BR,BRASIL,85090,ALPESTRE,13,PT,2519
4996,RS,BR,BRASIL,88056,PORTO XAVIER,13,PT,2788
4997,MT,BR,BRASIL,89843,SANTO ANTÔNIO DO LESTE,13,PT,493
5696,MT,BR,BRASIL,91618,TESOURO,13,PT,706
5710,MA,BR,BRASIL,7595,CEDRAL,17,PSL,877
5711,MA,BR,BRASIL,7617,CHAPADINHA,17,PSL,8385
5712,CE,BR,BRASIL,13099,ALCÂNTARAS,17,PSL,883
5713,CE,BR,BRASIL,14575,MARCO,17,PSL,6175
5714,PB,BR,BRASIL,19097,ALAGOINHA,17,PSL,1511
5731,PE,BR,BRASIL,25437,SALGUEIRO,17,PSL,5694
5751,GO,BR,BRASIL,93408,BONÓPOLIS,13,PT,1234
5752,GO,BR,BRASIL,93998,IPORÁ,13,PT,6777
5753,GO,BR,BRASIL,96717,ARENÓPOLIS,13,PT,1157
5754,PA,BR,BRASIL,4154,ANANINDEUA,17,PSL,69118
5755,PA,BR,BRASIL,4715,ITAITUBA,17,PSL,24784
5779,PI,BR,BRASIL,10928,NOSSA SENHORA DE NAZARÉ,17,PSL,437
5780,PI,BR,BRASIL,12670,CARAÚBAS DO PIAUÍ,17,PSL,758
5781,RN,BR,BRASIL,17515,FRUTUOSO GOMES,17,PSL,368
5790,BA,BR,BRASIL,36170,ITAMBÉ,17,PSL,3317
5791,MG,BR,BRASIL,40746,SÃO JOÃO DO MANTENINHA,17,PSL,1854
6213,AM,BR,BRASIL,2550,MANAUS,13,PT,36524
6214,MA,BR,BRASIL,8265,SÃO DOMINGOS DO AZEITÃO,13,PT,3571
6230,PE,BR,BRASIL,23310,BELÉM DO SÃO FRANCISCO,13,PT,9946
6231,AL,BR,BRASIL,28878,VIÇOSA,13,PT,8972
6244,BA,BR,BRASIL,38490,SALVADOR,13,PT,40588
6245,BA,BR,BRASIL,39659,VITÓRIA DA CONQUISTA,13,PT,35760
6246,MG,BR,BRASIL,41076,BARÃO DE COCAIS,13,PT,7043
6247,MG,BR,BRASIL,41599,BOM SUCESSO,13,PT,3899
6248,MG,BR,BRASIL,41858,BURITIS,13,PT,5110
6249,MG,BR,BRASIL,42293,CAMPOS ALTOS,13,PT,2320
6250,MG,BR,BRASIL,42595,CARAÍ,13,PT,5871
6251,MG,BR,BRASIL,44059,CRISTÁLIA,13,PT,2217
6266,RJ,BR,BRASIL,58114,BOM JESUS DO ITABAPOANA,13,PT,6634
6601,MG,BR,BRASIL,42838,CARMO DO CAJURU,17,PSL,7762
6621,MG,BR,BRASIL,54038,UBERLÂNDIA,17,PSL,30051
6622,SP,BR,BRASIL,61840,TAQUARIVAÍ,17,PSL,2255
6623,SP,BR,BRASIL,63959,ECHAPORÃ,17,PSL,2431
6624,SP,BR,BRASIL,67210,MONÇÕES,17,PSL,900
6632,MA,BR,BRASIL,7307,BREJO DE AREIA,13,PT,3969
6633,MA,BR,BRASIL,8214,LORETO,13,PT,4674
6636,PR,BR,BRASIL,76430,JARDIM ALEGRE,17,PSL,3741
6637,PR,BR,BRASIL,78735,SÃO JOÃO DO CAIUÁ,17,PSL,1540
6646,SE,BR,BRASIL,31372,CUMBE,13,PT,1908
6647,SE,BR,BRASIL,32174,RIACHUELO,13,PT,4394
6653,RS,BR,BRASIL,85804,CIDREIRA,17,PSL,4028
6662,MG,BR,BRASIL,42200,IBIRACATU,17,PSL,751
6663,RJ,BR,BRASIL,58289,SÃO FRANCISCO DE ITABAPOANA,17,PSL,15425
6674,SP,BR,BRASIL,63150,CARDOSO,17,PSL,3859
6675,SP,BR,BRASIL,65137,INDIANA,17,PSL,2153
6676,SP,BR,BRASIL,69370,QUEIROZ,17,PSL,1314
6677,SP,BR,BRASIL,71072,SÃO PAULO,17,PSL,39879
6678,TO,BR,BRASIL,73148,NOVO ALEGRE,17,PSL,449
6679,TO,BR,BRASIL,73300,CARIRI DO TOCANTINS,17,PSL,1127
6701,PR,BR,BRASIL,78190,RIO BOM,17,PSL,1387
6702,RS,BR,BRASIL,88242,FLORIANO PEIXOTO,17,PSL,735
6707,MS,BR,BRASIL,91693,ANGÉLICA,17,PSL,3038
7115,RJ,BR,BRASIL,58459,LAJE DO MURIAÉ,13,PT,2840
7125,SP,BR,BRASIL,68896,PIRATININGA,13,PT,1452
7126,SP,BR,BRASIL,72150,UNIÃO PAULISTA,13,PT,368
7127,SP,BR,BRASIL,72273,VALPARAÍSO,13,PT,3071
7128,PR,BR,BRASIL,76171,ITAPEJARA D OESTE,13,PT,3782
7144,SC,BR,BRASIL,82732,PRESIDENTE CASTELLO BRANCO,13,PT,260
7145,RS,BR,BRASIL,87980,TRAVESSEIRO,13,PT,641
7146,RS,BR,BRASIL,88102,VILA NOVA DO SUL,13,PT,1232
7147,MS,BR,BRASIL,90557,CAARAPÓ,13,PT,4961
7158,PA,BR,BRASIL,4120,ELDORADO DOS CARAJÁS,17,PSL,4937
7159,AP,BR,BRASIL,6025,PORTO GRANDE,17,PSL,3681
7160,PI,BR,BRASIL,10561,SÃO LOURENÇO DO PIAUÍ,17,PSL,274
7161,PI,BR,BRASIL,10650,DEMERVAL LOBÃO,17,PSL,1807
7173,CE,BR,BRASIL,13110,ALTANEIRA,17,PSL,435
7174,PB,BR,BRASIL,19534,IGARACY,17,PSL,780
7175,PE,BR,BRASIL,23132,ALIANÇA,17,PSL,5160
7521,BA,BR,BRASIL,35750,INHAMBUPE,13,PT,14299
7522,MG,BR,BRASIL,44431,DIVINOLÂNDIA DE MINAS,13,PT,1761
7538,MG,BR,BRASIL,53597,TAIOBEIRAS,13,PT,5537
7539,ES,BR,BRASIL,56014,AFONSO CLÁUDIO,13,PT,6007
7540,RJ,BR,BRASIL,60011,RIO DE JANEIRO,13,PT,32937
7541,SP,BR,BRASIL,62227,VITÓRIA BRASIL,13,PT,405
7542,SP,BR,BRASIL,67970,OURO VERDE,13,PT,1907
7552,PR,BR,BRASIL,76279,JABOTI,13,PT,982
7553,SC,BR,BRASIL,81426,ENTRE RIOS,13,PT,1564
7565,RS,BR,BRASIL,87718,NOVO HAMBURGO,13,PT,17397
7566,GO,BR,BRASIL,95117,PALMEIRAS DE GOIÁS,13,PT,4454
7575,PA,BR,BRASIL,4286,TRAIRÃO,17,PSL,3815
8034,PE,BR,BRASIL,24635,JOAQUIM NABUCO,17,PSL,1813
8052,MG,BR,BRASIL,43699,CONSOLAÇÃO,17,PSL,796
8053,MG,BR,BRASIL,43958,CÓRREGO DANTA,17,PSL,1114
8059,PA,BR,BRASIL,4545,TERRA ALTA,13,PT,4726
8070,MG,BR,BRASIL,53350,SERRA DO SALITRE,17,PSL,3559
8071,ES,BR,BRASIL,57932,SANTA MARIA DE JETIBÁ,17,PSL,16375
8072,SP,BR,BRASIL,63851,DOLCINÓPOLIS,17,PSL,677
8073,MA,BR,BRASIL,7366,BURITIRANA,13,PT,5179
8074,PI,BR,BRASIL,10375,BOM JESUS,13,PT,9266
8075,CE,BR,BRASIL,15717,TRAIRI,13,PT,24614
8076,RN,BR,BRASIL,17795,PARNAMIRIM,13,PT,37327
8077,RN,BR,BRASIL,18252,SANTANA DO SERIDÓ,13,PT,1109
8089,SP,BR,BRASIL,69795,RIO CLARO,17,PSL,37071
8090,BA,BR,BRASIL,34797,CORDEIROS,13,PT,2914
8091,BA,BR,BRASIL,39578,VALENÇA,13,PT,31374
8437,PI,BR,BRASIL,11991,SÃO JOÃO DO PIAUÍ,17,PSL,1805
8438,PI,BR,BRASIL,12572,CAJUEIRO DA PRAIA,17,PSL,813
8460,PB,BR,BRASIL,20338,IBIARA,17,PSL,496
8461,PB,BR,BRASIL,20354,IMACULADA,17,PSL,743
8483,BA,BR,BRASIL,33316,ANTAS,17,PSL,1445
8484,MG,BR,BRASIL,40061,CAPITÃO ANDRADE,17,PSL,1414
8495,ES,BR,BRASIL,56537,ITAGUAÇU,17,PSL,4708
8521,PE,BR,BRASIL,24872,MORENO,13,PT,23323
8522,PE,BR,BRASIL,25070,PARNAMIRIM,13,PT,11606
8523,AL,BR,BRASIL,27413,COLÔNIA LEOPOLDINA,13,PT,5582
8524,AL,BR,BRASIL,27596,IBATEGUARA,13,PT,4865
8525,ZZ,BR,BRASIL,29750,HANÓI,13,PT,10
8534,BA,BR,BRASIL,35874,IRAMAIA,13,PT,4202
8535,BA,BR,BRASIL,38830,SÃO FRANCISCO DO CONDE,13,PT,21780
8545,MG,BR,BRASIL,50415,PONTE NOVA,13,PT,17795
8546,MG,BR,BRASIL,52736,SÃO LOURENÇO,13,PT,5561
8547,MG,BR,BRASIL,54356,VIRGÍNIA,13,PT,2020
8548,SP,BR,BRASIL,61107,GUATAPARÁ,13,PT,1417
8549,SP,BR,BRASIL,63290,CERQUEIRA CÉSAR,13,PT,2572
8550,SP,BR,BRASIL,64734,GUARIBA,13,PT,6142
8958,SC,BR,BRASIL,81647,PRINCESA,17,PSL,1221
8959,SC,BR,BRASIL,81817,LACERDÓPOLIS,17,PSL,1240
8960,RS,BR,BRASIL,84832,SÃO DOMINGOS DO SUL,17,PSL,1276
8961,RS,BR,BRASIL,86932,CHARQUEADAS,17,PSL,10125
8962,MG,BR,BRASIL,42498,CAPIM BRANCO,13,PT,1713
8963,MG,BR,BRASIL,43397,COMERCINHO,13,PT,2951
8974,GO,BR,BRASIL,93513,ESTRELA DO NORTE,17,PSL,1083
8978,SP,BR,BRASIL,65579,ITAPORANGA,13,PT,2300
8979,SP,BR,BRASIL,67555,NIPOÃ,13,PT,913
8992,SC,BR,BRASIL,83615,TREZE DE MAIO,13,PT,543
9005,MT,BR,BRASIL,90328,SANTO AFONSO,13,PT,673
9006,GO,BR,BRASIL,94510,MARA ROSA,13,PT,2457
9007,MT,BR,BRASIL,98337,DENISE,13,PT,1641
9008,PA,BR,BRASIL,4278,BELÉM,17,PSL,39931
9364,PR,BR,BRASIL,74829,SANTA MÔNICA,17,PSL,977
9380,RS,BR,BRASIL,86541,CENTENÁRIO,17,PSL,1091
9381,TO,BR,BRASIL,92193,ANANÁS,17,PSL,1823
9415,PR,BR,BRASIL,77399,PALOTINA,13,PT,4204
9431,SC,BR,BRASIL,81442,PAIAL,13,PT,694
9445,GO,BR,BRASIL,95079,OUVIDOR,13,PT,2497
9446,CE,BR,BRASIL,98574,VARJOTA,13,PT,7079
9447,MT,BR,BRASIL,98850,PORTO ALEGRE DO NORTE,13,PT,1788
9468,PI,BR,BRASIL,11371,NOVO ORIENTE DO PIAUÍ,17,PSL,356
9469,CE,BR,BRASIL,14559,MARANGUAPE,17,PSL,18147
9470,RN,BR,BRASIL,18112,RIACHO DA CRUZ,17,PSL,389
9471,RN,BR,BRASIL,18236,SANTA CRUZ,17,PSL,5889
9887,PI,BR,BRASIL,11070,JOAQUIM PIRES,17,PSL,1760
9888,PI,BR,BRASIL,12610,SÃO GONÇALO DO GURGUÉIA,17,PSL,304
9889,RN,BR,BRASIL,16080,ITAJÁ,17,PSL,1034
9890,RN,BR,BRASIL,18210,SÃO FRANCISCO DO OESTE,17,PSL,732
9902,PE,BR,BRASIL,24910,OLINDA,17,PSL,35736
9903,BA,BR,BRASIL,33375,APORÁ,17,PSL,1643
9904,BA,BR,BRASIL,36315,ITAPICURU,17,PSL,1549
9921,BA,BR,BRASIL,38490,SALVADOR,17,PSL,38931
9922,BA,BR,BRASIL,38571,SANTA CRUZ DA VITÓRIA,17,PSL,889
9923,MG,BR,BRASIL,47139,JEQUITIBÁ,17,PSL,2104
9924,MG,BR,BRASIL,47570,LAMIM,17,PSL,753
10337,RN,BR,BRASIL,18252,SANTANA DO SERIDÓ,17,PSL,736
10351,BA,BR,BRASIL,36951,MACARANI,17,PSL,3179
10352,MG,BR,BRASIL,41610,BONFIM,17,PSL,2415
10353,MG,BR,BRASIL,41890,CABO VERDE,17,PSL,3367
10359,AM,BR,BRASIL,2259,COARI,13,PT,21399
10360,RR,BR,BRASIL,3077,BONFIM,13,PT,2797
10368,MG,BR,BRASIL,47171,JESUÂNIA,17,PSL,1634
10369,RJ,BR,BRASIL,60011,RIO DE JANEIRO,17,PSL,32888
10370,PI,BR,BRASIL,10189,COIVARAS,13,PT,2844
10371,CE,BR,BRASIL,14397,JAGUARIBE,13,PT,17204
10372,PE,BR,BRASIL,23396,BODOCÓ,13,PT,16517
10384,SP,BR,BRASIL,67890,OSASCO,17,PSL,43771
10385,PR,BR,BRASIL,74900,VENTANIA,17,PSL,2685
10386,PR,BR,BRASIL,75175,CONGONHINHAS,17,PSL,2281
10387,SC,BR,BRASIL,80101,JOSÉ BOITEUX,17,PSL,2080
10388,PE,BR,BRASIL,24473,ITACURUBA,13,PT,2737
10389,PE,BR,BRASIL,26158,TUPANATINGA,13,PT,9393
10390,BA,BR,BRASIL,37311,MONTE SANTO,13,PT,25788
10391,MG,BR,BRASIL,40231,AIURUOCA,13,PT,1393
10802,SP,BR,BRASIL,61409,NOVAIS,17,PSL,1749
10803,SP,BR,BRASIL,64254,FRANCA,17,PSL,62172
10804,SP,BR,BRASIL,67598,NOVA EUROPA,17,PSL,2740
10812,PA,BR,BRASIL,4421,NOVO REPARTIMENTO,13,PT,12573
10813,PI,BR,BRASIL,10820,ILHA GRANDE,13,PT,4885
10814,CE,BR,BRASIL,13013,ABAIARA,13,PT,4665
10817,PR,BR,BRASIL,75353,CURITIBA,17,PSL,79512
10818,PR,BR,BRASIL,75787,SULINA,17,PSL,1063
10819,PR,BR,BRASIL,78212,RIO BRANCO DO SUL,17,PSL,10317
10828,RN,BR,BRASIL,18392,SÃO JOÃO DO SABUGI,13,PT,2862
10829,PB,BR,BRASIL,20370,INGÁ,13,PT,7461
10836,RS,BR,BRASIL,87491,MONTENEGRO,17,PSL,22518
10837,RS,BR,BRASIL,87580,SALVADOR DAS MISSÕES,17,PSL,1271
10838,RS,BR,BRASIL,89125,CAPÃO BONITO DO SUL,17,PSL,787
10839,TO,BR,BRASIL,92738,BREJINHO DE NAZARÉ,17,PSL,1135
10840,GO,BR,BRASIL,93025,CIDADE OCIDENTAL,17,PSL,17644
10841,GO,BR,BRASIL,95150,PALMINÓPOLIS,17,PSL,1944
10842,DF,BR,BRASIL,97012,BRASÍLIA,17,PSL,64315
10847,BA,BR,BRASIL,37419,MUCURI,13,PT,9901
10848,BA,BR,BRASIL,39071,SERRA PRETA,13,PT,9968
10849,BA,BR,BRASIL,39250,TAPIRAMUTÁ,13,PT,5458
10850,MG,BR,BRASIL,41106,NATALÂNDIA,13,PT,1247
10851,MG,BR,BRASIL,46094,ILICÍNEA,13,PT,3138
11232,PI,BR,BRASIL,10707,CAPITÃO GERVÁSIO OLIVEIRA,13,PT,2667
11233,PI,BR,BRASIL,11770,RIBEIRO GONÇALVES,13,PT,2582
11254,PR,BR,BRASIL,84573,FIGUEIRA,17,PSL,2581
11255,RS,BR,BRASIL,85090,ALPESTRE,17,PSL,2435
11256,RS,BR,BRASIL,85618,CACHOEIRINHA,17,PSL,51143
11257,RS,BR,BRASIL,86568,CHARRUA,17,PSL,941
11258,RS,BR,BRASIL,89524,WESTFALIA,17,PSL,1520
11259,MG,BR,BRASIL,41882,CHAPADA GAÚCHA,13,PT,3729
11260,MG,BR,BRASIL,43737,COQUEIRAL,13,PT,2087
11275,RJ,BR,BRASIL,60011,RIO DE JANEIRO,13,PT,31741
11276,SP,BR,BRASIL,63711,CUBATÃO,13,PT,25584
11277,PR,BR,BRASIL,74055,AGUDOS DO SUL,13,PT,1770
11291,PR,BR,BRASIL,77933,QUATIGUÁ,13,PT,1361
11292,SC,BR,BRASIL,82538,PINHALZINHO,13,PT,4312
11293,RS,BR,BRASIL,87807,SÃO PEDRO DA SERRA,13,PT,538
11310,RS,BR,BRASIL,88404,ESTRELA VELHA,13,PT,949
11311,MT,BR,BRASIL,91359,PORTO DOS GAÚCHOS,13,PT,813
11722,SP,BR,BRASIL,61875,AVANHANDAVA,13,PT,1855
11723,SP,BR,BRASIL,67695,NOVA ODESSA,13,PT,8377
11732,SP,BR,BRASIL,70017,SALESÓPOLIS,13,PT,2566
11733,SP,BR,BRASIL,71331,SERRA NEGRA,13,PT,2712
11734,PR,BR,BRASIL,74675,CALIFÓRNIA,13,PT,1584
11762,AM,BR,BRASIL,2810,TEFÉ,17,PSL,8159
11763,PA,BR,BRASIL,4367,TERRA SANTA,17,PSL,3753
11764,MA,BR,BRASIL,7730,DOM PEDRO,17,PSL,3588
12167,TO,BR,BRASIL,92681,SÃO VALÉRIO,13,PT,1660
12168,GO,BR,BRASIL,93815,GUAPÓ,13,PT,3471
12169,TO,BR,BRASIL,96296,PRESIDENTE KENNEDY,13,PT,919
12170,AM,BR,BRASIL,2020,GUAJARÁ,17,PSL,2836
12177,CE,BR,BRASIL,13730,CAUCAIA,17,PSL,23242
12178,CE,BR,BRASIL,13811,COREAÚ,17,PSL,2559
12179,RN,BR,BRASIL,16110,ALMINO AFONSO,17,PSL,587
12180,RN,BR,BRASIL,16292,BARCELONA,17,PSL,1093
12181,RN,BR,BRASIL,18473,SÃO MIGUEL,17,PSL,1713
12187,PB,BR,BRASIL,19771,CALDAS BRANDÃO,17,PSL,886
12188,PE,BR,BRASIL,23078,ÁGUA PRETA,17,PSL,2703
12189,SE,BR,BRASIL,31798,MARUIM,17,PSL,1860
12190,BA,BR,BRASIL,35971,ITABUNA,17,PSL,25516
12204,MG,BR,BRASIL,41157,TRÊS MARIAS,17,PSL,8862
12205,MG,BR,BRASIL,49190,OURO FINO,17,PSL,13102
12218,ES,BR,BRASIL,56200,PONTO BELO,17,PSL,1475
12219,RJ,BR,BRASIL,58971,SÃO GONÇALO,17,PSL,57329
12619,PB,BR,BRASIL,22330,TAVARES,17,PSL,877
12620,ZZ,BR,BRASIL,30120,MILÃO,17,PSL,2851
12629,BA,BR,BRASIL,35378,IAÇU,17,PSL,2169
12643,ES,BR,BRASIL,57118,RIO BANANAL,17,PSL,5902
12644,RJ,BR,BRASIL,58696,NOVA IGUAÇU,17,PSL,59515
12645,SP,BR,BRASIL,61123,DIRCE REIS,17,PSL,618
12656,SP,BR,BRASIL,69515,REGINÓPOLIS,17,PSL,2621
12657,PR,BR,BRASIL,75353,CURITIBA,17,PSL,79313
12658,PR,BR,BRASIL,77178,NOVA AMÉRICA DA COLINA,17,PSL,1264
12670,RS,BR,BRASIL,85260,LAGOÃO,17,PSL,1202
12671,RS,BR,BRASIL,88269,CHUVISCA,17,PSL,2172
